CDOTABaseAbility
extends CBaseEntity
No Description Set
Function	Signature	Description
OnAbilityPinged	void OnAbilityPinged(int nPlayerID)	No Description Set
OnChannelFinish	void OnChannelFinish(bool bInterrupted)	No Description Set
OnChannelThink	void OnChannelThink(float flInterval)	No Description Set
OnHeroCalculateStatBonus	void OnHeroCalculateStatBonus()	No Description Set
OnHeroLevelUp	void OnHeroLevelUp()	No Description Set
OnInventoryContentsChanged	void OnInventoryContentsChanged()	No Description Set
OnOwnerDied	void OnOwnerDied()	No Description Set
OnOwnerSpawned	void OnOwnerSpawned()	No Description Set
OnSpellStart	void OnSpellStart()	No Description Set
OnToggle	void OnToggle()	No Description Set
OnUpgrade	void OnUpgrade()	No Description Set
PayGoldCost	void PayGoldCost()	No Description Set
PayGoldCostForUpgrade	void PayGoldCostForUpgrade()	No Description Set
PayManaCost	void PayManaCost()	No Description Set
PlaysDefaultAnimWhenStolen	bool PlaysDefaultAnimWhenStolen()	No Description Set
ProcsMagicStick	bool ProcsMagicStick()	No Description Set
RefCountsModifiers	bool RefCountsModifiers()	No Description Set
RefundManaCost	void RefundManaCost()	No Description Set
ResetToggleOnRespawn	bool ResetToggleOnRespawn()	No Description Set
SetAbilityIndex	void SetAbilityIndex(int iIndex)	No Description Set
SetActivated	void SetActivated(bool bActivated)	No Description Set
SetChanneling	void SetChanneling(bool bChanneling)	No Description Set
SetHidden	void SetHidden(bool bHidden)	No Description Set
SetInAbilityPhase	void SetInAbilityPhase(bool bInAbilityPhase)	No Description Set
SetLevel	void SetLevel(int iLevel)	Sets the level of this ability.
SetOverrideCastPoint	void SetOverrideCastPoint(float flCastPoint)	No Description Set
SetRefCountsModifiers	void SetRefCountsModifiers(bool bRefCounts)	No Description Set
SetStolen	void SetStolen(bool bStolen)	No Description Set
ShouldUseResources	bool ShouldUseResources()	No Description Set
SpeakAbilityConcept	void SpeakAbilityConcept(int iConcept)	No Description Set
SpeakTrigger	bool SpeakTrigger()	No Description Set
StartCooldown	void StartCooldown(float flCooldown)	param: flCooldown
ToggleAbility	void ToggleAbility()	No Description Set
ToggleAutoCast	void ToggleAutoCast()	No Description Set
UpgradeAbility	void UpgradeAbility(bool bSupressSpeech)	No Description Set
UseResources	void UseResources(bool bMana, bool bGold, bool bCooldown)	No Description Set
